[2026-06-29 16:04:34] === 1/3 Google Places photos ===
Google enriching 5459 places (photos=True)
  4480/5459 — matched 2882, updated 2882, photos 2333
  4490/5459 — matched 2892, updated 2892, photos 2342
  4500/5459 — matched 2902, updated 2902, photos 2352
  4510/5459 — matched 2912, updated 2912, photos 2361
  4520/5459 — matched 2922, updated 2922, photos 2369
  4530/5459 — matched 2932, updated 2932, photos 2376
  4540/5459 — matched 2942, updated 2942, photos 2384
  4550/5459 — matched 2952, updated 2952, photos 2394
  4560/5459 — matched 2962, updated 2962, photos 2401
  4570/5459 — matched 2972, updated 2972, photos 2409
  4580/5459 — matched 2982, updated 2982, photos 2418
  4590/5459 — matched 2992, updated 2992, photos 2426
  4600/5459 — matched 3002, updated 3002, photos 2433
  4610/5459 — matched 3012, updated 3012, photos 2441
  4620/5459 — matched 3022, updated 3022, photos 2450
  4630/5459 — matched 3032, updated 3032, photos 2457
  4640/5459 — matched 3042, updated 3042, photos 2463
  4650/5459 — matched 3051, updated 3051, photos 2471
  4660/5459 — matched 3061, updated 3061, photos 2478
  4670/5459 — matched 3071, updated 3071, photos 2486
  4680/5459 — matched 3081, updated 3081, photos 2493
  4690/5459 — matched 3091, updated 3091, photos 2501
  4700/5459 — matched 3101, updated 3101, photos 2509
  4710/5459 — matched 3111, updated 3111, photos 2516
  4720/5459 — matched 3121, updated 3121, photos 2524
  4730/5459 — matched 3131, updated 3131, photos 2532
  4740/5459 — matched 3141, updated 3141, photos 2540
  4750/5459 — matched 3151, updated 3151, photos 2547
  4760/5459 — matched 3161, updated 3161, photos 2553
  4770/5459 — matched 3171, updated 3171, photos 2562
  4780/5459 — matched 3181, updated 3181, photos 2570
  4790/5459 — matched 3191, updated 3191, photos 2578
  4800/5459 — matched 3201, updated 3201, photos 2585
  4810/5459 — matched 3211, updated 3211, photos 2593
  4820/5459 — matched 3221, updated 3221, photos 2602
  4830/5459 — matched 3231, updated 3231, photos 2609
  4840/5459 — matched 3241, updated 3241, photos 2617
  4850/5459 — matched 3251, updated 3251, photos 2623
  4860/5459 — matched 3260, updated 3260, photos 2630
  4870/5459 — matched 3269, updated 3269, photos 2635
  4880/5459 — matched 3279, updated 3279, photos 2644
  4890/5459 — matched 3289, updated 3289, photos 2652
  4900/5459 — matched 3299, updated 3299, photos 2660
  4910/5459 — matched 3309, updated 3309, photos 2666
  4920/5459 — matched 3319, updated 3319, photos 2675
  4930/5459 — matched 3329, updated 3329, photos 2681
  4940/5459 — matched 3339, updated 3339, photos 2690
  4950/5459 — matched 3349, updated 3349, photos 2699
