id,name,folder,flag_count,flags,website,coord_precision
8198f0bdb69d,Bao Quang Temple,BuddhaNet (Germany),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Schiffbeker,unknown
29e7367db3b8,Baratiya Bauddha Sabha (Ambedkar Siksha Samiti),BuddhaNet (India),5,"missing_phone,bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Isipatana,unknown
0b286c7e14a5,Barbara Vester Sitzgruppe - Erlangen,BuddhaNet (Germany),4,"missing_phone,missing_description,missing_photo,missing_hours",https://www.thomasgemeinde-erlangen.de/,address
bd21e61d9eca,Barcelona Zen Center,BuddhaNet (Spain),5,"missing_phone,bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Passeig,unknown
a6d41fefc3f8,Barom Kagyu Choe Khor Ling,Tibetan,5,"missing_phone,missing_website,missing_description,missing_photo,missing_hours",,unknown
9f1fac82703c,Barrington Zen Center,BuddhaNet (United States of America),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Lois,unknown
c104e146605c,Bat Nha Temple-Chùa Bát Nhã,Vietnamese Temples,5,"missing_phone,missing_website,missing_description,missing_photo,missing_hours",,unknown
0c1bc9fa534d,Batu Pahat Insight Meditation Centre,BuddhaNet (Malaysia),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/15A,unknown
a640f3f2709e,Bauddha Shikshan Prashiksahan Vigyan Club,BuddhaNet (India),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/MOH.CANAL,unknown
b58aea85b1b3,Bauddhistava Shiksha Sansthan,BuddhaNet (India),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Bauddhistava,unknown
2dd0b648fecb,Beit Hashita (CMI),BuddhaNet (Israel),5,"missing_address,missing_website,missing_description,missing_photo,missing_hours",,unknown
5b0d1065a778,Benchen Karma Choeling,BuddhaNet (Singapore),3,"missing_description,missing_photo,missing_hours",http://www.sst.org.sg/,unknown
9fc3e88ef032,Benchen Monastery,Wolf K Asia Retreats (Nepal),4,"missing_phone,missing_description,missing_photo,missing_hours",https://benchen.org/en/,unknown
5c202299e091,Benoni Cultural Centre,BuddhaNet (South Africa),5,"missing_phone,bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/134,unknown
4301a9246300,Benuban Bauddha Sangha,BuddhaNet (India),5,"bad_website,stacked_coords,missing_description,missing_photo,missing_hours",http://mapof.it/Benuban,unknown
577d9aea2cb0,Berkeley Buddhist Temple,"Pure Land, Soka Gakkai, Jodo Shin",4,"missing_phone,missing_description,missing_photo,missing_hours",http://www.berkeleysangha.org/,unknown
40abc2a34433,Betagi Sharbojonin Dharmananda Bihar,BuddhaNet (Bangladesh),5,"missing_phone,bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/VILLAGE,unknown
856e67f033f2,Betbunia Center Buddha Vihar & U Kainda Children Home,BuddhaNet (Bangladesh),6,"missing_phone,bad_website,stacked_coords,missing_description,missing_photo,missing_hours",http://mapof.it/Betbunia,unknown
cc41abefbf4b,Beupeun International Zen center,BuddhaNet (Korea),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/17-301,unknown
58ac95e7932c,Bhadantacharya Buddhadatta Pali Promotion Foundation,BuddhaNet (India),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/At,unknown
c431ac079c33,Bhartiya Dalit Painthar,BuddhaNet (India),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/IHM,unknown
c296d6c18d36,Bhodhiyana meditation center,"Thai, Burmese, Lao, Cambodian, and Sri Lankan Temple",3,"missing_description,missing_photo,missing_hours",https://www.come2mountainview.com/,unknown
89b85d560952,Bidarshan Dhyan Ashram,BuddhaNet (India),6,"missing_phone,bad_website,stacked_coords,missing_description,missing_photo,missing_hours",http://mapof.it/Hydarpara,unknown
de98f2ac33c2,Bihar School of Yoga,Wolf K Asia Retreats (India),4,"missing_phone,missing_description,missing_photo,missing_hours",http://www.biharyoga.net/bihar-school-of-yoga/about-bsy/,unknown
0a1b43b12578,Bilchari Triratnagkur Buddhist Monastary,BuddhaNet (Bangladesh),5,"bad_website,stacked_coords,missing_description,missing_photo,missing_hours","http://mapof.it/Vill:-Bilchari,P.O:-Lama,P.S:-Cakaria",unknown
9807518a3249,Billings Dharma Center,Tibetan,5,"missing_phone,missing_website,missing_description,missing_photo,missing_hours",,unknown
6ac68ba63967,Billings Dharma Center,BuddhaNet (United States of America),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/244,unknown
9ebae7c8b2b8,Birken Forest Monastery,BuddhaNet (Canada),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/P.O,unknown
9c3b0d2c8be8,Birmingham Shambhala Meditation Center,Tibetan,4,"missing_phone,missing_description,missing_photo,missing_hours",https://birmingham.shambhala.org/,unknown
9b482037f806,Black Brook Buddhist Church,BuddhaNet (United States of America),5,"missing_phone,bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/487,unknown
f87ed6691035,Black Mountain Zen,BuddhaNet (United States of America),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/8787,unknown
6ec19fa1b4fe,Blooming Lilac Sangha,BuddhaNet (United States of America),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Rochester,unknown
882810ceed75,Blooming Lotus Yoga Center,Wolf K Asia Retreats (Thailand),4,"missing_phone,missing_description,missing_photo,missing_hours",http://www.thailandyoga.net/yoga-retreats-thailand/thailand-yoga-retreat,unknown
aae022fcaabb,Blooming of the Lotus Urban Hermitage,BuddhaNet (Australia),3,"missing_description,missing_photo,missing_hours",https://www.staugustines.com.au,unknown
97285be03cc0,Blue Cliff Monastery,"Zen, Chan, Son, & Thien,",3,"missing_description,missing_photo,missing_hours",https://www.bluecliffmonastery.org/,unknown
074a2158d86c,Blue Heron Dharma Group,BuddhaNet (Canada),3,"missing_description,missing_photo,missing_hours",https://www.hmc.on.ca/,unknown
43cebda28754,Blue Lotus Buddhist Temple and Meditation Center,"Insight, Theravada, Vipassanna",3,"missing_description,missing_photo,missing_hours",https://www.bluelotustemple.org/,unknown
5d5307a27831,Blue Lotus Meditation Center and Louisiana Buddhist Vihara,"Insight, Theravada, Vipassanna",5,"missing_phone,missing_website,missing_description,missing_photo,missing_hours",,unknown
2649cfcfb285,Blue Mountain Dharma,Tibetan,5,"missing_phone,missing_website,missing_description,missing_photo,missing_hours",,unknown
869fde0b037f,Blue Mountain Zendo,"Zen, Chan, Son, & Thien,",5,"missing_phone,missing_website,missing_description,missing_photo,missing_hours",,unknown
569fe51b119d,Blue River Bhavana,BuddhaNet (United States of America),5,"missing_phone,bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Pilgrim,unknown
32fd2ce02f19,Bluebell Sangha,BuddhaNet (United Kingdom),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Berwickshire,unknown
88a70923445c,Bo De Buddhist Meditation Center,BuddhaNet (United States of America),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/773,unknown
6c94a6c50a7f,Bo De Tam Monastery,Vietnamese Temples,5,"missing_phone,missing_website,missing_description,missing_photo,missing_hours",,unknown
